NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Fort Lauderdale city, Florida",81544,12,24000,Fort Lauderdale city,Florida,"Fort Lauderdale city, Florida",28.543089,-81.378698,0.0,20.0
"Four Corners CDP, Florida",76295,12,24581,Four Corners CDP,Florida,"Four Corners CDP, Florida",28.308517,-81.628592,0.0,20.0
"Kendall CDP, Florida",89441,12,36100,Kendall CDP,Florida,"Kendall CDP, Florida",25.665226,-80.356192,2.0,0.0
"Miramar city, Florida",80661,12,45975,Miramar city,Florida,"Miramar city, Florida",25.9811111,-80.2211111,1.0,4.0
"North Port city, Florida",78587,12,49675,North Port city,Florida,"North Port city, Florida",30.99087,-87.257268,0.0,0.0
"Palm Harbor CDP, Florida",85256,12,54350,Palm Harbor CDP,Florida,"Palm Harbor CDP, Florida",28.087928,-82.762872,0.0,13.0
"Pembroke Pines city, Florida",79144,12,55775,Pembroke Pines city,Florida,"Pembroke Pines city, Florida",34.681574,-79.192845,0.0,0.0
"Plantation city, Florida",82830,12,57425,Plantation city,Florida,"Plantation city, Florida",26.128892,-80.2298404,0.0,19.0
"Riverview CDP, Florida",98470,12,60950,Riverview CDP,Florida,"Riverview CDP, Florida",27.820475,-82.303571,0.0,3.0
"The Villages CDP, Florida",75062,12,71625,The Villages CDP,Florida,"The Villages CDP, Florida",28.895788,-81.984221,0.0,3.0
"Wesley Chapel CDP, Florida",102188,12,75875,Wesley Chapel CDP,Florida,"Wesley Chapel CDP, Florida",28.20866,-82.331696,0.0,1.0
"Weston city, Florida",130462,12,76582,Weston city,Florida,"Weston city, Florida",26.0915488,-80.3802093,0.0,3.0
"Alpharetta city, Georgia",129946,13,1696,Alpharetta city,Georgia,"Alpharetta city, Georgia",34.07463485,-84.2922705072829,0.0,4.0
"Atlanta city, Georgia",83251,13,4000,Atlanta city,Georgia,"Atlanta city, Georgia",33.75517665,-84.40599247359282,1.0,20.0
"Johns Creek city, Georgia",149145,13,42425,Johns Creek city,Georgia,"Johns Creek city, Georgia",34.0605222,-84.1691163,0.0,1.0
"Roswell city, Georgia",130088,13,67284,Roswell city,Georgia,"Roswell city, Georgia",34.022464400000004,-84.3601763665493,0.0,5.0
"Sandy Springs city, Georgia",104394,13,68516,Sandy Springs city,Georgia,"Sandy Springs city, Georgia",33.9251369,-84.3806568,0.0,20.0
